epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4555.25,1.61047,1.57438,1.13609,0.65296,0.32309,0.31416,0.15777,1.56566,1.89237,1.1166,0.000222184,0.000222184,0.000222184
2,8826.41,1.53925,1.0716,1.12458,0.61213,0.37981,0.38797,0.19639,1.54087,1.25888,1.10882,0.00040051,0.00040051,0.00040051
3,13073.6,1.51754,0.98448,1.11796,0.7148,0.39433,0.42165,0.21549,1.50966,1.08334,1.09664,0.000534814,0.000534814,0.000534814
4,17280.5,1.48715,0.9302,1.10574,0.72489,0.40662,0.45482,0.23502,1.48722,1.0219,1.0906,0.000468901,0.000468901,0.000468901
5,21672.9,1.45741,0.88644,1.09387,0.76615,0.4175,0.47884,0.24656,1.46382,0.9988,1.07275,0.000402868,0.000402868,0.000402868
6,26050.8,1.43351,0.85014,1.07894,0.68758,0.44652,0.49747,0.25974,1.44589,0.93246,1.06636,0.000336835,0.000336835,0.000336835
7,30338.8,1.4065,0.8204,1.07102,0.72767,0.48988,0.53508,0.28066,1.41937,0.8587,1.05487,0.000270802,0.000270802,0.000270802
8,34694.1,1.38156,0.79272,1.06129,0.7354,0.48709,0.5408,0.29442,1.39989,0.8698,1.04673,0.000204769,0.000204769,0.000204769
9,38901.4,1.35601,0.76367,1.04995,0.74586,0.52029,0.56472,0.30658,1.39053,0.83045,1.04314,0.000138736,0.000138736,0.000138736
10,43124.6,1.33488,0.74162,1.04045,0.78282,0.52754,0.57739,0.31658,1.368,0.81021,1.03095,7.2703e-05,7.2703e-05,7.2703e-05
